date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:30	3331/3331	---MCZ	200	added ('OK')	text/css	etag:W/%22102e-602e3bb3ab49d-gzip%22	https://wevitation.com/assets/css/theme.css?c=1	C:/My%20Web%20Sites/sidik/wevitation.com/assets/css/theme2707.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:32	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%22649564fe-13e7%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/sidik/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:32	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/sidik/unpkg.com/aos@2.3.1/dist/aos.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:32	5041/5041	---MCZ	200	added ('OK')	text/css	etag:W/%221813-602e3bb47763a-gzip%22	https://wevitation.com/assets/plugins/custom/responsive-flip-countdown/style.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/responsive-flip-countdown/style.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:32	2395/2395	---MCZ	200	added ('OK')	text/css	etag:W/%22bc7-602e3bb71936e-gzip%22	https://wevitation.com/themes/photovit/css/styles.css	C:/My%20Web%20Sites/sidik/wevitation.com/themes/photovit/css/styles.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:33	1454070/1454070	---M--	200	added ('OK')	image/jpeg	etag:%22162ff6-5f96b3a2105ce%22	https://wevitation.com/storage/cover/a5a7ff0e-58cf-467c-a7e1-81f915a4f905_background_1.jpg?time=1681613815	C:/My%20Web%20Sites/sidik/wevitation.com/storage/cover/a5a7ff0e-58cf-467c-a7e1-81f915a4f905_background_15e07.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:33	1438316/1438316	---M--	200	added ('OK')	image/jpeg	etag:%2215f26c-5f96b2286b9b4%22	https://wevitation.com/storage/cover/a5a7ff0e-58cf-467c-a7e1-81f915a4f905_background_2.jpg?time=1681613419	C:/My%20Web%20Sites/sidik/wevitation.com/storage/cover/a5a7ff0e-58cf-467c-a7e1-81f915a4f905_background_2e7fe.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:33	117593/117593	---M--	200	added ('OK')	image/jpeg	etag:%221cb59-5f96afc1a8645%22	https://wevitation.com/storage/galleries/b6ZOvQOCTAu7ckdFfwNtJwONiRi82fh0WRAn6uec.jpg?time=1681612775	C:/My%20Web%20Sites/sidik/wevitation.com/storage/galleries/b6ZOvQOCTAu7ckdFfwNtJwONiRi82fh0WRAn6uece928.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:34	154181/154181	---M--	200	added ('OK')	image/jpeg	etag:%2225a45-5f96b0000d31d%22	https://wevitation.com/storage/galleries/OxEfQrhP10Y9UipSUe6CBt1xEFmS1C7DFYe1v4TN.jpg?time=1681612840	C:/My%20Web%20Sites/sidik/wevitation.com/storage/galleries/OxEfQrhP10Y9UipSUe6CBt1xEFmS1C7DFYe1v4TN0492.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:34	176442/176442	---M--	200	added ('OK')	image/jpeg	etag:%222b13a-5f96b13b6867b%22	https://wevitation.com/storage/galleries/jHHtZyVUOAOIuiBm0vz7wshZuRXlVnUZqvaegmer.jpg?time=1681613171	C:/My%20Web%20Sites/sidik/wevitation.com/storage/galleries/jHHtZyVUOAOIuiBm0vz7wshZuRXlVnUZqvaegmer609f.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:34	165131/165131	---M--	200	added ('OK')	image/jpeg	etag:%222850b-5f96b1a2f37c1%22	https://wevitation.com/storage/galleries/BcZ7lVJ8HFfTjg3iw2qptduzILKC1Vc4TKzjBzaO.jpg?time=1681613279	C:/My%20Web%20Sites/sidik/wevitation.com/storage/galleries/BcZ7lVJ8HFfTjg3iw2qptduzILKC1Vc4TKzjBzaOa0d4.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:34	156773/156773	---M--	200	added ('OK')	image/jpeg	etag:%2226465-5f96b1c6821b8%22	https://wevitation.com/storage/galleries/qSsVS12FQbEDViGWClnkQVmQMhjY4V2hglGhqGlU.jpg?time=1681613316	C:/My%20Web%20Sites/sidik/wevitation.com/storage/galleries/qSsVS12FQbEDViGWClnkQVmQMhjY4V2hglGhqGlU1252.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:35	2932276/2932276	---MCZ	200	added ('OK')	application/javascript	etag:W/%223aec52-602e3bb4ec938-gzip%22	https://wevitation.com/assets/plugins/global/plugins.bundle.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/global/plugins.bundle.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:35	120306/120306	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232858-602e3bb3c0c5d-gzip%22	https://wevitation.com/assets/js/scripts.bundle.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/js/scripts.bundle.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:35	451990/451990	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b10b4-602e3bb465cfa-gzip%22	https://wevitation.com/assets/plugins/custom/fullcalendar/fullcalendar.bundle.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/fullcalendar/fullcalendar.bundle.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:35	11571/11571	---MCZ	200	added ('OK')	application/javascript	etag:W/%223efe-602e3bb47669a-gzip%22	https://wevitation.com/assets/plugins/custom/responsive-flip-countdown/jquery.flipper-responsive.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/responsive-flip-countdown/jquery.flipper-responsive.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:35	27529/27529	---M-Z	200	added ('OK')	application/javascript	etag:%226b89-602e3bb493b59-gzip%22	https://wevitation.com/assets/plugins/custom/splide/dist/js/splide.min.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/splide/dist/js/splide.min.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:36	4552/4552	---M-Z	200	added ('OK')	application/javascript	etag:%2211c8-602e3bb442a7b-gzip%22	https://wevitation.com/assets/plugins/custom/countdown/jquery.countdown.min.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/countdown/jquery.countdown.min.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:36	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/sidik/unpkg.com/aos@2.3.1/dist/aos.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:36	40228/40228	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218625-602e3bb3bfcbd-gzip%22	https://wevitation.com/assets/js/custom/widgets.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/js/custom/widgets.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:36	1656/1656	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c4-602e3bb3ae37d-gzip%22	https://wevitation.com/assets/js/custom/apps/chat/chat.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/js/custom/apps/chat/chat.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:37	4872/4872	---MCZ	200	added ('OK')	application/javascript	etag:W/%222076-602e3bb3bdd7d-gzip%22	https://wevitation.com/assets/js/custom/modals/create-app.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/js/custom/modals/create-app.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:37	1398/1398	---MCZ	200	added ('OK')	application/javascript	etag:W/%227d6-602e3bb3bdd7d-gzip%22	https://wevitation.com/assets/js/custom/modals/upgrade-plan.js	C:/My%20Web%20Sites/sidik/wevitation.com/assets/js/custom/modals/upgrade-plan.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:37	3095/3095	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c17-/CtD5WDEW7iHrdmPF7CEBoqSMss%22	https://cdn.jsdelivr.net/npm/lozad/dist/lozad.min.js	C:/My%20Web%20Sites/sidik/cdn.jsdelivr.net/npm/lozad/dist/lozad.min.js	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:38	3497/3497	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Sep%202023%2014:37:38%20GMT	https://wevitation.com/themes/photovit/img/bg-2.png	C:/My%20Web%20Sites/sidik/wevitation.com/themes/photovit/img/bg-2.png	(from https://wevitation.com/themes/photovit/css/styles.css)
